doc_id,text,response_type,sex,age_cohorts,political_id3,close_nkmigrants
nkmigrants_interviews_4471,자녀가 있어서,neighbor,Female,40-49,Conservative,Neither close nor distant
nkmigrants_interviews_4472,체류기간이 길고 안정적인 직업,vote,Female,40-49,Conservative,Neither close nor distant
nkmigrants_interviews_4473,중국 체류기간이 짧아서,hire,Male,18-29,Centrist,Neither close nor distant
nkmigrants_interviews_4474,경력자라서,neighbor,Male,18-29,Centrist,Neither close nor distant
nkmigrants_interviews_4475,중국 체류기간이 더 짧아서,vote,Male,18-29,Centrist,Neither close nor distant
nkmigrants_interviews_4476,한국내 체류기간이 길어서,hire,Male,30-39,Centrist,Somewhat distant
nkmigrants_interviews_4477,둘중좋아보여서,neighbor,Male,30-39,Centrist,Somewhat distant
nkmigrants_interviews_4478,한국 내 체류기간이 길고 젊어서 남한에 잘 동화될것 같다.,vote,Male,30-39,Centrist,Somewhat distant
nkmigrants_interviews_4479,한국내체류기간,hire,Male,18-29,Progressive,Somewhat distant
nkmigrants_interviews_4480,둘다 비슷한 조건인데 전 노동당원이 아님,neighbor,Male,18-29,Progressive,Somewhat distant
nkmigrants_interviews_4481,도움이 될것같은 이웃,vote,Male,18-29,Progressive,Somewhat distant
nkmigrants_interviews_4482,A는 연령이 많다,hire,Male,18-29,Centrist,Somewhat distant
nkmigrants_interviews_4483,전문성,neighbor,Male,18-29,Centrist,Somewhat distant
nkmigrants_interviews_4484,연령이 또래임,vote,Male,18-29,Centrist,Somewhat distant
nkmigrants_interviews_4485,A는 나이가 너무 어림,hire,Male,18-29,Centrist,Very distant
nkmigrants_interviews_4486,그래도 더 친근감이 있다,neighbor,Male,18-29,Centrist,Very distant
nkmigrants_interviews_4487,근로 의욕,vote,Male,18-29,Centrist,Very distant
nkmigrants_interviews_4488,더 안정감이 있을 것 같다,hire,Male,18-29,Progressive,Neither close nor distant
nkmigrants_interviews_4489,자리잡는데 도움주기위해,neighbor,Male,18-29,Progressive,Neither close nor distant
nkmigrants_interviews_4490,이분이 더 나을 것 같아서,vote,Male,18-29,Progressive,Neither close nor distant
nkmigrants_interviews_4491,직업 보유,hire,Male,18-29,Centrist,Neither close nor distant
nkmigrants_interviews_4492,한국체류기간,neighbor,Male,18-29,Centrist,Neither close nor distant
nkmigrants_interviews_4493,정착에 도움주기위해,vote,Male,18-29,Centrist,Neither close nor distant
nkmigrants_interviews_4494,한국내 체류기간,hire,Female,60+,Conservative,Neither close nor distant
nkmigrants_interviews_4495,사업에 도움이 되어서,neighbor,Female,60+,Conservative,Neither close nor distant
nkmigrants_interviews_4496,한국인동료,vote,Female,60+,Conservative,Neither close nor distant
nkmigrants_interviews_4497,믿음이 가서,hire,Female,60+,Conservative,Very distant
nkmigrants_interviews_4498,안정적인 생활가능,neighbor,Female,60+,Conservative,Very distant
nkmigrants_interviews_4499,종교가 같아서,vote,Female,60+,Conservative,Very distant
nkmigrants_interviews_4500,안정적,hire,Female,30-39,Conservative,Neither close nor distant
nkmigrants_interviews_4501,체류기간이 길어서,neighbor,Female,30-39,Conservative,Neither close nor distant
nkmigrants_interviews_4502,안정적,vote,Female,30-39,Conservative,Neither close nor distant
nkmigrants_interviews_4503,체류기간이 길어서,hire,Female,30-39,Centrist,Neither close nor distant
nkmigrants_interviews_4504,위험이 느껴지지 않아서,neighbor,Female,30-39,Centrist,Neither close nor distant
nkmigrants_interviews_4505,체류기간이 길어서,vote,Female,30-39,Centrist,Neither close nor distant
nkmigrants_interviews_4506,좀 더 안전함이 느껴져서,hire,Female,40-49,Progressive,Very distant
nkmigrants_interviews_4507,이미 이곳 생활에 적응 할 기간이 되므로,neighbor,Female,40-49,Progressive,Very distant
nkmigrants_interviews_4508,위협적으로 느껴지지 않아서,vote,Female,40-49,Progressive,Very distant
nkmigrants_interviews_4509,한국에 오래 있었기 때문,hire,Female,40-49,Progressive,Neither close nor distant
nkmigrants_interviews_4510,47세,neighbor,Female,40-49,Progressive,Neither close nor distant
nkmigrants_interviews_4511,젊어서,vote,Female,40-49,Progressive,Neither close nor distant
nkmigrants_interviews_4512,의사,hire,Female,60+,Progressive,Somewhat close
nkmigrants_interviews_4513,탈북민으로써 이혼의 아픔까지 있어서 동정심으로,neighbor,Female,60+,Progressive,Somewhat close
nkmigrants_interviews_4514,정착 12년,vote,Female,60+,Progressive,Somewhat close
nkmigrants_interviews_4515,나이와 직업등을 고려하여,hire,Male,18-29,Centrist,Somewhat distant
nkmigrants_interviews_4516,더 평범한것 같아서,neighbor,Male,18-29,Centrist,Somewhat distant
nkmigrants_interviews_4517,연륜도 있고 자녀도 있어서 안정적인 가정이라는 생각 때문에,vote,Male,18-29,Centrist,Somewhat distant
nkmigrants_interviews_4518,더 평범한것 같아서,hire,Female,18-29,Centrist,Somewhat close
nkmigrants_interviews_4519,전 노동당원이 아니고 가정을 구성하여 안정적인 상태,neighbor,Female,18-29,Centrist,Somewhat close
nkmigrants_interviews_4520,엘리트라서,vote,Female,18-29,Centrist,Somewhat close
nkmigrants_interviews_4521,결혼하여 가정을 가지고 있어 안정적임,hire,Male,18-29,Centrist,Somewhat distant
